"FullName","DirectoryName","Name","Size(KB)","Size(MB)","LastWriteTime","CreationTime"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\deed.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","deed.pdf","88.41","0.09","11/21/2025 12:18:15 PM","11/21/2025 6:15:06 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\2024 Taxes Paid.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","2024 Taxes Paid.pdf","129.09","0.13","11/21/2025 12:18:13 PM","11/21/2025 6:15:08 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\par.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","par.pdf","443.48","0.43","11/21/2025 12:18:10 PM","11/21/2025 6:15:06 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\life estate deed.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","life estate deed.pdf","114.54","0.11","11/21/2025 12:18:07 PM","11/21/2025 6:15:08 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\Lien Search Summary.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","Lien Search Summary.docx","15.25","0.01","11/21/2025 12:18:04 PM","11/21/2025 6:15:08 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\Lien Search Request.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","Lien Search Request.docx","15.3","0.01","11/21/2025 12:18:02 PM","11/21/2025 6:15:08 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\Lien Search Invoice.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","Lien Search Invoice.docx","11.74","0.01","11/21/2025 12:17:59 PM","11/21/2025 6:15:08 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\Initial Email.msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","Initial Email.msg","7863.5","7.68","11/21/2025 12:17:57 PM","11/21/2025 6:15:08 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\Executed AS IS Contract.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","Executed AS IS Contract.pdf","7675.69","7.5","11/21/2025 12:17:50 PM","11/21/2025 6:15:08 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER.zip","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505","BUYER.zip","7346.2","7.17","11/21/2025 12:17:19 PM","11/21/2025 12:17:04 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\ETBA - DRAFT ALTA REVIEW..msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","ETBA - DRAFT ALTA REVIEW..msg","271.5","0.27","11/21/2025 12:14:58 PM","11/21/2025 6:13:38 PM"
